review_id,author,author_url,rating,text,date,date_relative,language,helpful_count,response_text,response_date,page_number
ChdDSUhNMG9nS0VJQ0FnSUROOVpTQjZnRRAB,,https://www.google.com/maps/contrib/108200025706542139406/reviews?hl=th,5,,,ปีที่แล้ว,,0,,,2
ChZDSUhNMG9nS0VJQ0FnSUNQZ3J6MExnEAE,,https://www.google.com/maps/contrib/116952242574668469969/reviews?hl=th,3,,,11 เดือนที่แล้ว,,0,,,2
ChZDSUhNMG9nS0VJQ0FnSUN2MTRTaU93EAE,,https://www.google.com/maps/contrib/102586862862264391224/reviews?hl=th,3,,,10 เดือนที่แล้ว,,0,,,2
Ci9DQUlRQUNvZENodHljRjlvT2sxbVMwSndUSGhqVHpGbExYVnZVblZ3YzBKU1NsRRAB,,https://www.google.com/maps/contrib/100035383593468181473/reviews?hl=th,5,,,4 เดือนที่แล้ว,,0,,,2
Ci9DQUlRQUNvZENodHljRjlvT2pJMGNGYzVXVkpJYVdseWQxZzBkR1E1Y0VwMGQxRRAB,,https://www.google.com/maps/contrib/117343460713991374686/reviews?hl=th,1,,,Unknown Date,,0,,,2
Ci9DQUlRQUNvZENodHljRjlvT25GMGFqQkdTbVZQU25oSmJ6VmhaeloxUW1KR1FYYxAB,,https://www.google.com/maps/contrib/103043624794617362859/reviews?hl=th,5,,,4 เดือนที่แล้ว,,0,,,2
ChdDSUhNMG9nS0VLX0F6TDZLb0ppZWx3RRAB,,https://www.google.com/maps/contrib/113426308196096084599/reviews?hl=th,4,,,5 เดือนที่แล้ว,,0,,,2
Ci9DQUlRQUNvZENodHljRjlvT2tKT00yTnhYeTAxYzJjNFNFMDVMVlZQWlRsdlRsRRAB,,https://www.google.com/maps/contrib/106402221969099245773/reviews?hl=th,5,,,3 เดือนที่แล้ว,,0,,,2
Ci9DQUlRQUNvZENodHljRjlvT2xaeFNWVlpNMEpvTmtGd1pIZEtjVE41UzBwcFNrRRAB,,https://www.google.com/maps/contrib/103234887734592624022/reviews?hl=th,1,,,Unknown Date,,0,,,2
Ci9DQUlRQUNvZENodHljRjlvT2toYVdGRjZhR3h4WmxneE1sUk9jV2RFVkRKVVVFRRAB,,https://www.google.com/maps/contrib/114725852672663868417/reviews?hl=th,5,,,Unknown Date,,0,,,2
Ci9DQUlRQUNvZENodHljRjlvT25oNGRqSnhiakJYY2pNd2RtaDFVa1ZCYkhaWE5sRRAB,,https://www.google.com/maps/contrib/102236689094628404330/reviews?hl=th,4,,,3 เดือนที่แล้ว,,0,,,2
Ci9DQUlRQUNvZENodHljRjlvT21GbE1GWlphWEpVWW1aWmVscEdXVTFWUkUxUVZrRRAB,,https://www.google.com/maps/contrib/118368922164611964637/reviews?hl=th,5,,,4 เดือนที่แล้ว,,0,,,3
Ci9DQUlRQUNvZENodHljRjlvT2pGaGJuUlhSV3hGTUdWT05rTldibHBCT1dOc2VFRRAB,,https://www.google.com/maps/contrib/113924253083164514925/reviews?hl=th,5,,,Unknown Date,,0,,,3
ChdDSUhNMG9nS0VMN3g1cXVZX29YT3pnRRAB,,https://www.google.com/maps/contrib/107553627175221318042/reviews?hl=th,5,,,5 เดือนที่แล้ว,,0,,,3
ChZDSUhNMG9nS0VJUGU3X3p0dmNMRWVREAE,,https://www.google.com/maps/contrib/111616084835829585684/reviews?hl=th,5,,,6 เดือนที่แล้ว,,0,,,3
Ci9DQUlRQUNvZENodHljRjlvT25KUE1HbFNUbUpFU210SVRXSnBNeTFGUzFFNGFGRRAB,,https://www.google.com/maps/contrib/103094692319261930406/reviews?hl=th,5,,,Unknown Date,,0,,,3
ChdDSUhNMG9nS0VMYWZ6c0g2bGJxSTBBRRAB,,https://www.google.com/maps/contrib/108978439946056539818/reviews?hl=th,5,,,5 เดือนที่แล้ว,,0,,,3
Ci9DQUlRQUNvZENodHljRjlvT2tvMlEwOHlTblJWYjJkRlUyUkNMWFJwTVVsclZuYxAB,,https://www.google.com/maps/contrib/114543334127948549118/reviews?hl=th,5,,,4 เดือนที่แล้ว,,0,,,3
ChZDSUhNMG9nS0VJQ0FnSUM3bi1UM0JBEAE,,https://www.google.com/maps/contrib/114499698178064276902/reviews?hl=th,5,,,ปีที่แล้ว,,0,,,3
ChdDSUhNMG9nS0VJQ0FnTUNZMm9QWW5nRRAB,,https://www.google.com/maps/contrib/109780721120051337478/reviews?hl=th,5,,,6 เดือนที่แล้ว,,0,,,3
ChdDSUhNMG9nS0VPZWMwSXJJM01qbDZnRRAB,,https://www.google.com/maps/contrib/105900478696098641121/reviews?hl=th,5,,,5 เดือนที่แล้ว,,0,,,3
ChZDSUhNMG9nS0VJQ0FnTUNvX1ltb0tBEAE,,https://www.google.com/maps/contrib/103676847973550311891/reviews?hl=th,5,,,6 เดือนที่แล้ว,,0,,,3
ChdDSUhNMG9nS0VJQ0FnSUNINUxHSGpnRRAB,,https://www.google.com/maps/contrib/109707615348263229370/reviews?hl=th,5,,,ปีที่แล้ว,,0,,,3
ChdDSUhNMG9nS0VJQ0FnSUQzNWMzd3FBRRAB,,https://www.google.com/maps/contrib/104659470162122789376/reviews?hl=th,5,,,11 เดือนที่แล้ว,,0,,,3
Ci9DQUlRQUNvZENodHljRjlvT2tOTFFtSmtiV1oxVDBOdFRESlNZMnBZUldKcFlVRRAB,,https://www.google.com/maps/contrib/104084695819049100749/reviews?hl=th,5,,,Unknown Date,,0,,,3
ChdDSUhNMG9nS0VJQ0FnSURyMk9feS1nRRAB,,https://www.google.com/maps/contrib/113671026924185843698/reviews?hl=th,5,,,ปีที่แล้ว,,0,,,3
ChdDSUhNMG9nS0VJQ0FnSURqanNxaDZRRRAB,,https://www.google.com/maps/contrib/103548038369153168823/reviews?hl=th,5,,,ปีที่แล้ว,,0,,,3
ChZDSUhNMG9nS0VJMzBnT0h1d3RhT0ZBEAE,,https://www.google.com/maps/contrib/112940985871338393230/reviews?hl=th,5,,,5 เดือนที่แล้ว,,0,,,3
