review_id,author,author_url,rating,text,date,date_relative,language,helpful_count,response_text,response_date,page_number
Ci9DQUlRQUNvZENodHljRjlvT2tGaWMxcFNabFp2Y2tORGVtdFZXbFZoUVVaT01FRRAB,,https://www.google.com/maps/contrib/105804170933950921825/reviews?hl=en,4,,,9 hours ago,,0,,,93
Ci9DQUlRQUNvZENodHljRjlvT20xV2QyVlRTaTE1WlZaU1QxQm9SSHBRTmtNNFkyYxAB,,https://www.google.com/maps/contrib/115299217195420603265/reviews?hl=en,5,,,2 days ago,,0,,,93
Ci9DQUlRQUNvZENodHljRjlvT2pCd09XSTJWWEZSYlVwWmFHbzBTMjFxUkhkblFYYxAB,,https://www.google.com/maps/contrib/101175619054571018097/reviews?hl=en,5,,,2 days ago,,0,,,93
Ci9DQUlRQUNvZENodHljRjlvT25CR2FURkxabkpKUTNsVVZGQlRURUZZUVVwRmRGRRAB,,https://www.google.com/maps/contrib/101567735071461902281/reviews?hl=en,5,,,6 days ago,,0,,,20
Ci9DQUlRQUNvZENodHljRjlvT21wR2VWTjRURzQ0YUdOaVRuaEZPRmwyTW1RdFRWRRAB,,https://www.google.com/maps/contrib/110534080919816956441/reviews?hl=en,5,,,6 days ago,,0,,,93
Ci9DQUlRQUNvZENodHljRjlvT2xwTVoyUjJZVVpHZFZsQ2VYVllWV0ZWZDBoaFpXYxAB,,https://www.google.com/maps/contrib/115446723098779160346/reviews?hl=en,4,,,a week ago,,0,,,18
Ci9DQUlRQUNvZENodHljRjlvT2w5RFIzaFdWMUE0Y1RkNlkyOU5SSFpLY1VJNVlsRRAB,,https://www.google.com/maps/contrib/108274472410440521250/reviews?hl=en,4,,,a week ago,,0,,,15
Ci9DQUlRQUNvZENodHljRjlvT21Nd2NHVnlOWHBXZVZVeGFWQnNjRGhOZFRab1RVRRAB,,https://www.google.com/maps/contrib/115465143438680410269/reviews?hl=en,4,,,a week ago,,0,,,17
Ci9DQUlRQUNvZENodHljRjlvT25wTllXeDVaVUpTUlZKTmEwRldjR3B5ZDBwRlRXYxAB,,https://www.google.com/maps/contrib/104798125396195163081/reviews?hl=en,1,,,a week ago,,0,,,16
Ci9DQUlRQUNvZENodHljRjlvT2s5ak5ESmpUalU0VVVwWk0xcHJka2x1Wkd0d1JIYxAB,,https://www.google.com/maps/contrib/114258837611884568218/reviews?hl=en,5,,,a week ago,,0,,,15
